"id";"average_length_inches";"average_weight_inches";"habitat";"ph_of_water";"color";"Gender";"life_span";"weight"
319;4.78;7.59;"lakes";6.1;"Black_and_Orange";"TRUE";11.4;"low"
320;11.06;8.83;"slowmovingwaters";6.4;"Calico";"FALSE";21.4;"low"
321;17.13;15.86;"ponds";6.5;"Red_and_Silver";"FALSE";26.7;"high"
322;19.29;17.04;"idlewater";6.5;"Reddish_Orange";"FALSE";5.7;"high"
323;7.87;16.8;"slowmovingwaters";6.4;"Black_and_Orange";"TRUE";18.7;"high"
324;11.59;13.63;"slowmovingwaters";7.0;"Red_and_White_Bi_Color";"TRUE";15.3;"intermediate"
325;1.03;11.68;"lakes";6.4;"Red_and_White_Bi_Color";"FALSE";9.1;"intermediate"
326;14.99;16.61;"slowmovingwaters";6.3;"Orange";"TRUE";7.2;"high"
327;11.61;5.94;"lakes";6.7;"Red_and_White_Bi_Color";"TRUE";5.5;"low"
328;7.88;2.98;"slowmovingwaters";6.9;"Red_and_White_Bi_Color";"FALSE";11.2;"really low"
329;1.91;6.78;"rivers";7.0;"Black_and_Orange";"FALSE";10.0;"low"
330;8.24;9.02;"slowmovingwaters";6.3;"Green_and_Chocolate";"TRUE";25.1;"low"
331;9.97;16.54;"lakes";7.4;"Reddish_Orange";"FALSE";3.0;"high"
332;1.26;2.53;"slowmovingwaters";6.7;"Orange";"TRUE";2.0;"really low"
333;16.67;4.59;"rivers";6.6;"Yellow";"FALSE";10.6;"really low"
334;2.67;7.73;"ponds";7.6;"Black_and_Orange";"FALSE";16.3;"low"
335;10.61;13.71;"slowmovingwaters";6.9;"Orange";"FALSE";16.1;"intermediate"
336;15.07;11.48;"ponds";7.4;"Calico";"FALSE";24.0;"intermediate"
337;3.1;10.23;"rivers";7.0;"Calico";"TRUE";11.7;"intermediate"
338;8.57;10.03;"ponds";6.8;"Red_and_White_Bi_Color";"TRUE";21.6;"intermediate"
339;1.11;9.23;"idlewater";6.3;"Reddish_Orange";"FALSE";6.5;"low"
340;2.57;9.86;"rivers";7.7;"Red_and_Silver";"FALSE";26.4;"low"
341;12.56;10.64;"ponds";6.1;"Calico";"FALSE";10.9;"intermediate"
342;6.17;4.02;"idlewater";7.7;"Black_and_Orange";"TRUE";11.1;"really low"
343;17.7;8.65;"ponds";7.7;"Green_and_Chocolate";"FALSE";23.3;"low"
344;10.62;13.57;"slowmovingwaters";6.9;"Calico";"FALSE";11.9;"intermediate"
345;8.15;10.5;"slowmovingwaters";7.6;"Reddish_Orange";"FALSE";11.6;"intermediate"
346;18.15;17.85;"rivers";7.0;"White";"FALSE";19.4;"high"
347;6.9;12.53;"slowmovingwaters";7.6;"White";"TRUE";4.7;"intermediate"
348;9.11;2.61;"idlewater";6.1;"Green_and_Chocolate";"TRUE";10.4;"really low"
349;19.73;11.63;"idlewater";7.1;"Green_and_Chocolate";"FALSE";7.3;"intermediate"
350;14.22;6.49;"rivers";6.5;"Black_and_Orange";"FALSE";6.4;"low"
351;9.29;11.57;"ponds";7.1;"Red_and_Silver";"FALSE";1.3;"intermediate"
352;2.78;11.14;"slowmovingwaters";6.1;"Black_and_Orange";"FALSE";27.6;"intermediate"
353;15.8;8.29;"lakes";7.0;"Reddish_Orange";"TRUE";4.0;"low"
354;14.77;18.18;"lakes";6.0;"White";"TRUE";12.8;"high"
355;19.67;14.79;"lakes";6.7;"Red_and_Silver";"FALSE";1.9;"intermediate"
356;18.42;10.75;"slowmovingwaters";6.8;"Yellow";"FALSE";19.6;"intermediate"
357;18.94;11.5;"rivers";6.4;"Red_and_Silver";"FALSE";24.5;"intermediate"
358;3.38;16.38;"lakes";7.5;"Calico";"TRUE";20.0;"high"
359;3.82;13.48;"lakes";6.7;"Calico";"FALSE";27.3;"intermediate"
360;15.09;3.86;"lakes";7.2;"Red_and_Silver";"FALSE";10.9;"really low"
361;17.54;15.03;"lakes";6.2;"Yellow";"TRUE";11.8;"high"
362;1.4;12.33;"idlewater";7.3;"Yellow";"TRUE";11.0;"intermediate"
363;19.04;16.92;"rivers";7.9;"Calico";"TRUE";1.1;"high"
364;3.35;7.88;"slowmovingwaters";6.1;"Red_and_Silver";"FALSE";1.3;"low"
365;6.56;17.05;"lakes";6.3;"White";"FALSE";7.7;"high"
366;15.54;2.04;"ponds";7.7;"Yellow";"TRUE";8.1;"really low"
367;8.32;13.44;"rivers";7.5;"White";"TRUE";10.9;"intermediate"
368;18.19;14.74;"rivers";7.6;"Red_and_Silver";"FALSE";26.6;"intermediate"
369;14.53;5.29;"lakes";6.1;"Calico";"FALSE";24.5;"low"
370;11.72;5.3;"lakes";7.4;"Red_and_White_Bi_Color";"FALSE";2.9;"low"
371;7.4;14.52;"slowmovingwaters";7.1;"Red_and_Silver";"TRUE";11.9;"intermediate"
372;16.63;4.28;"slowmovingwaters";6.0;"Red_and_White_Bi_Color";"FALSE";20.7;"really low"
373;2.13;15.79;"rivers";6.9;"Red_and_Silver";"TRUE";22.8;"high"
374;3.13;16.89;"rivers";7.7;"Calico";"TRUE";26.0;"high"
375;4.27;10.19;"lakes";7.2;"Yellow";"TRUE";6.1;"intermediate"
376;3.92;11.64;"ponds";6.5;"Yellow";"FALSE";21.0;"intermediate"
377;11.35;3.14;"lakes";7.3;"Orange";"FALSE";27.5;"really low"
378;16.54;4.98;"idlewater";7.1;"Yellow";"FALSE";1.6;"really low"
379;7.9;14.78;"ponds";6.7;"Red_and_White_Bi_Color";"TRUE";24.4;"intermediate"
380;10.66;5.35;"idlewater";7.9;"Green_and_Chocolate";"FALSE";18.0;"low"
381;15.32;17.32;"rivers";7.6;"Calico";"FALSE";27.5;"high"
382;5.95;7.7;"idlewater";7.8;"Green_and_Chocolate";"FALSE";22.1;"low"
383;6.76;4.82;"lakes";7.5;"Black_and_Orange";"FALSE";3.4;"really low"
384;9.18;16.59;"ponds";6.7;"Black_and_Orange";"FALSE";16.0;"high"
385;4.75;8.97;"ponds";6.0;"Green_and_Chocolate";"TRUE";16.6;"low"
386;9.8;10.71;"slowmovingwaters";7.2;"Green_and_Chocolate";"FALSE";15.0;"intermediate"
387;14.94;4.82;"ponds";7.6;"White";"FALSE";6.3;"really low"
388;14.95;4.48;"slowmovingwaters";7.1;"Black_and_Orange";"TRUE";3.9;"really low"
389;3.22;6.98;"slowmovingwaters";6.9;"Reddish_Orange";"FALSE";1.6;"low"
390;15.17;9.34;"slowmovingwaters";6.9;"Red_and_White_Bi_Color";"FALSE";25.2;"low"
391;19.46;9.59;"rivers";6.5;"Yellow";"FALSE";19.2;"low"
392;12.68;18.32;"idlewater";7.6;"Green_and_Chocolate";"TRUE";13.8;"high"
393;4.13;16.12;"idlewater";7.1;"Calico";"FALSE";6.3;"high"
394;13.89;2.17;"slowmovingwaters";7.1;"White";"FALSE";5.4;"really low"
395;12.88;13.72;"rivers";6.1;"Black_and_Orange";"FALSE";19.8;"intermediate"
396;15.59;6.97;"idlewater";7.4;"White";"FALSE";3.4;"low"
397;6.94;8.93;"lakes";7.9;"Orange";"FALSE";8.7;"low"
398;14.56;16.93;"lakes";7.3;"Yellow";"TRUE";17.8;"high"
399;12.59;8.58;"ponds";6.3;"White";"FALSE";22.1;"low"
400;18.63;8.75;"slowmovingwaters";6.5;"Calico";"TRUE";2.3;"low"
401;14.6;5.19;"lakes";6.4;"Orange";"TRUE";16.3;"low"
402;1.83;7.74;"rivers";7.3;"Reddish_Orange";"TRUE";11.7;"low"
403;13.25;16.04;"slowmovingwaters";6.1;"Yellow";"FALSE";7.1;"high"
404;9.51;3.02;"rivers";6.9;"Red_and_White_Bi_Color";"TRUE";2.7;"really low"
405;1.42;6.59;"lakes";7.8;"Green_and_Chocolate";"FALSE";10.4;"low"
406;9.67;13.61;"rivers";7.6;"Black_and_Orange";"FALSE";19.2;"intermediate"
407;3.7;8.24;"slowmovingwaters";7.3;"White";"TRUE";25.6;"low"
408;9.3;10.54;"ponds";7.3;"Reddish_Orange";"TRUE";21.9;"intermediate"
409;2.13;18.68;"slowmovingwaters";7.5;"Green_and_Chocolate";"TRUE";17.3;"high"
410;3.8;11.79;"ponds";7.2;"Red_and_Silver";"FALSE";27.4;"intermediate"
411;11.12;7.72;"ponds";7.3;"Orange";"FALSE";14.9;"low"
412;19.26;4.06;"rivers";6.4;"Orange";"TRUE";20.0;"really low"
413;18.96;7.51;"idlewater";7.7;"Red_and_Silver";"TRUE";7.5;"low"
414;5.74;5.05;"lakes";6.7;"Calico";"FALSE";23.4;"low"
415;11.53;12.96;"lakes";6.1;"Red_and_Silver";"FALSE";17.1;"intermediate"
416;8.93;2.16;"ponds";7.8;"White";"FALSE";15.9;"really low"
417;1.57;15.83;"ponds";6.6;"Calico";"FALSE";9.4;"high"
418;13.99;3.09;"rivers";6.0;"Black_and_Orange";"TRUE";8.6;"really low"
419;10.03;15.13;"slowmovingwaters";6.1;"Yellow";"FALSE";24.5;"high"
420;5.83;15.57;"lakes";6.2;"Yellow";"TRUE";5.6;"high"
421;6.66;7.29;"rivers";6.2;"White";"TRUE";16.3;"low"
422;17.0;17.28;"lakes";7.2;"Reddish_Orange";"FALSE";19.5;"high"
423;3.25;2.67;"slowmovingwaters";6.1;"White";"FALSE";21.5;"really low"
424;10.47;9.32;"lakes";7.7;"Yellow";"TRUE";15.6;"low"
425;18.73;4.15;"slowmovingwaters";7.5;"Black_and_Orange";"TRUE";25.1;"really low"
426;3.54;18.11;"lakes";7.2;"Calico";"TRUE";1.3;"high"
427;3.79;5.2;"ponds";7.5;"Red_and_White_Bi_Color";"FALSE";13.7;"low"
428;9.46;18.45;"idlewater";6.1;"Green_and_Chocolate";"TRUE";14.4;"high"
429;16.98;18.82;"rivers";6.5;"Orange";"FALSE";21.6;"high"
430;14.02;17.89;"rivers";6.6;"Red_and_White_Bi_Color";"TRUE";6.1;"high"
431;5.11;10.69;"slowmovingwaters";7.9;"Black_and_Orange";"FALSE";20.9;"intermediate"
432;12.19;12.69;"lakes";6.9;"White";"FALSE";18.3;"intermediate"
433;6.04;18.27;"lakes";6.5;"Red_and_White_Bi_Color";"FALSE";27.3;"high"
434;9.11;17.25;"rivers";6.9;"Green_and_Chocolate";"FALSE";16.0;"high"
435;5.47;5.56;"ponds";7.3;"Black_and_Orange";"FALSE";20.4;"low"
436;6.95;4.51;"slowmovingwaters";7.1;"Green_and_Chocolate";"FALSE";27.4;"really low"
437;10.17;8.37;"slowmovingwaters";6.6;"Yellow";"TRUE";9.1;"low"
438;5.57;3.96;"ponds";6.6;"Black_and_Orange";"FALSE";8.8;"really low"
439;19.62;12.76;"slowmovingwaters";6.8;"Red_and_Silver";"FALSE";20.1;"intermediate"
440;9.82;6.56;"rivers";7.3;"Green_and_Chocolate";"FALSE";8.1;"low"
441;18.55;5.08;"lakes";7.1;"Orange";"TRUE";4.0;"low"
442;10.73;18.64;"ponds";7.5;"Yellow";"TRUE";26.8;"high"
443;1.46;11.21;"lakes";7.9;"Calico";"TRUE";25.8;"intermediate"
444;15.67;17.78;"lakes";6.2;"Red_and_White_Bi_Color";"FALSE";18.9;"high"
445;12.61;17.14;"rivers";7.9;"Orange";"FALSE";26.4;"high"
446;18.41;14.78;"slowmovingwaters";7.1;"Green_and_Chocolate";"TRUE";3.0;"intermediate"
447;2.04;8.38;"idlewater";7.2;"Green_and_Chocolate";"FALSE";8.9;"low"
448;5.08;2.89;"ponds";6.5;"Orange";"FALSE";20.9;"really low"
449;16.07;16.67;"idlewater";7.9;"Green_and_Chocolate";"TRUE";2.1;"high"
450;17.95;18.18;"lakes";6.0;"Red_and_White_Bi_Color";"TRUE";7.5;"high"
451;8.13;16.75;"idlewater";6.2;"Orange";"FALSE";17.2;"high"
452;9.78;3.66;"lakes";7.6;"Yellow";"FALSE";26.1;"really low"
453;16.72;18.02;"idlewater";6.1;"Green_and_Chocolate";"FALSE";23.4;"high"
454;2.73;3.33;"slowmovingwaters";6.5;"Black_and_Orange";"TRUE";19.2;"really low"
455;11.03;5.92;"lakes";6.5;"Yellow";"FALSE";23.0;"low"
456;5.48;8.35;"slowmovingwaters";6.6;"Green_and_Chocolate";"TRUE";11.8;"low"
457;2.75;3.3;"ponds";6.3;"Green_and_Chocolate";"FALSE";2.9;"really low"
458;14.86;17.49;"ponds";7.8;"Orange";"FALSE";3.1;"high"
459;5.71;5.79;"idlewater";6.9;"Yellow";"FALSE";6.0;"low"
460;11.39;14.56;"idlewater";6.1;"White";"FALSE";8.2;"intermediate"
461;17.79;15.59;"idlewater";7.3;"Reddish_Orange";"FALSE";21.9;"high"
462;5.75;9.23;"ponds";7.4;"Calico";"TRUE";2.7;"low"
463;10.28;4.04;"idlewater";6.0;"Orange";"FALSE";19.5;"really low"
464;8.2;10.71;"rivers";8.0;"Yellow";"TRUE";23.4;"intermediate"
465;3.76;8.7;"lakes";6.9;"Yellow";"TRUE";5.4;"low"
466;19.79;8.43;"idlewater";6.6;"Calico";"TRUE";26.0;"low"
467;10.57;18.33;"lakes";6.5;"Yellow";"TRUE";4.3;"high"
468;10.29;9.47;"lakes";6.5;"Red_and_Silver";"TRUE";5.8;"low"
469;4.82;9.66;"lakes";7.1;"Green_and_Chocolate";"TRUE";20.9;"low"
470;1.21;18.79;"lakes";6.6;"Orange";"FALSE";27.7;"high"
471;14.44;10.39;"rivers";7.3;"Reddish_Orange";"FALSE";19.8;"intermediate"
472;9.26;18.75;"ponds";7.8;"Reddish_Orange";"TRUE";14.9;"high"
473;13.9;9.07;"slowmovingwaters";7.8;"Black_and_Orange";"TRUE";4.6;"low"
474;13.71;7.33;"idlewater";6.9;"Green_and_Chocolate";"TRUE";23.3;"low"
475;19.01;13.93;"idlewater";7.1;"Yellow";"FALSE";25.3;"intermediate"
476;16.68;14.96;"ponds";7.9;"Calico";"FALSE";15.2;"intermediate"
477;1.91;18.15;"slowmovingwaters";6.7;"Red_and_White_Bi_Color";"FALSE";21.3;"high"
478;3.88;8.4;"ponds";7.6;"Green_and_Chocolate";"FALSE";22.0;"low"
479;15.44;2.86;"idlewater";6.7;"White";"TRUE";16.2;"really low"
480;14.77;12.16;"ponds";7.1;"Calico";"FALSE";23.2;"intermediate"
481;19.76;12.04;"slowmovingwaters";6.3;"Red_and_White_Bi_Color";"TRUE";24.5;"intermediate"
482;18.58;9.41;"slowmovingwaters";7.4;"White";"TRUE";14.8;"low"
483;2.32;9.02;"slowmovingwaters";7.2;"Yellow";"TRUE";24.1;"low"
484;13.66;3.41;"ponds";6.6;"Black_and_Orange";"FALSE";13.7;"really low"
485;8.78;18.31;"rivers";6.7;"Green_and_Chocolate";"FALSE";2.5;"high"
486;15.98;4.36;"slowmovingwaters";6.7;"Orange";"TRUE";11.6;"really low"
487;2.67;10.74;"ponds";6.1;"Orange";"FALSE";13.0;"intermediate"
488;18.3;11.06;"ponds";7.7;"Green_and_Chocolate";"TRUE";18.9;"intermediate"
489;11.58;18.74;"slowmovingwaters";6.6;"Orange";"TRUE";3.2;"high"
490;4.17;8.06;"ponds";8.0;"Yellow";"FALSE";2.2;"low"
491;2.9;6.13;"ponds";7.5;"Black_and_Orange";"FALSE";18.9;"low"
492;14.26;15.43;"lakes";6.1;"Orange";"FALSE";17.0;"high"
493;17.01;7.56;"ponds";6.8;"Red_and_Silver";"FALSE";27.9;"low"
494;14.17;10.59;"ponds";7.5;"Black_and_Orange";"FALSE";16.8;"intermediate"
495;18.87;11.91;"ponds";7.7;"Calico";"FALSE";16.0;"intermediate"
496;15.33;17.13;"rivers";6.1;"Red_and_Silver";"TRUE";23.5;"high"
497;14.6;16.92;"ponds";6.3;"White";"TRUE";5.3;"high"
498;9.47;4.71;"slowmovingwaters";7.3;"Yellow";"FALSE";10.0;"really low"
499;19.97;15.96;"ponds";7.2;"Calico";"FALSE";1.3;"high"
500;17.1;16.93;"slowmovingwaters";6.8;"Reddish_Orange";"TRUE";16.5;"high"
501;18.54;9.49;"ponds";7.0;"Red_and_White_Bi_Color";"FALSE";5.2;"low"
502;1.29;5.84;"idlewater";6.3;"Green_and_Chocolate";"FALSE";26.3;"low"
503;10.32;13.38;"idlewater";7.4;"Red_and_Silver";"TRUE";22.7;"intermediate"
504;14.12;11.57;"idlewater";6.2;"Black_and_Orange";"TRUE";11.6;"intermediate"
505;15.5;15.86;"idlewater";7.0;"Yellow";"TRUE";18.5;"high"
506;14.84;15.26;"ponds";7.1;"Red_and_White_Bi_Color";"TRUE";6.8;"high"
507;7.37;14.33;"ponds";7.7;"Black_and_Orange";"FALSE";15.1;"intermediate"
508;2.8;3.62;"slowmovingwaters";7.1;"Yellow";"FALSE";2.0;"really low"
509;8.06;8.61;"idlewater";7.1;"Green_and_Chocolate";"TRUE";15.9;"low"
510;17.97;10.76;"lakes";7.3;"Orange";"FALSE";9.9;"intermediate"
511;5.03;7.23;"ponds";7.7;"Yellow";"FALSE";9.9;"low"
512;18.26;14.5;"rivers";6.6;"Calico";"TRUE";9.7;"intermediate"
513;1.11;4.47;"rivers";7.2;"Orange";"FALSE";26.7;"really low"
514;7.58;5.68;"rivers";7.5;"Calico";"TRUE";15.2;"low"
515;18.45;8.83;"rivers";7.2;"Red_and_Silver";"TRUE";7.7;"low"
516;3.27;16.95;"lakes";6.4;"Reddish_Orange";"TRUE";22.1;"high"
517;13.23;13.69;"ponds";6.2;"White";"FALSE";22.9;"intermediate"
518;18.41;13.23;"slowmovingwaters";7.7;"Reddish_Orange";"TRUE";19.2;"intermediate"
519;13.11;11.38;"lakes";7.6;"Calico";"FALSE";20.5;"intermediate"
520;11.58;3.26;"slowmovingwaters";7.1;"Orange";"FALSE";7.5;"really low"
521;13.4;8.97;"idlewater";7.0;"Red_and_White_Bi_Color";"TRUE";6.1;"low"
522;14.39;3.32;"rivers";7.5;"Yellow";"TRUE";18.6;"really low"
523;8.28;18.84;"idlewater";7.4;"Yellow";"TRUE";18.8;"high"
524;4.96;15.28;"lakes";7.3;"Red_and_Silver";"FALSE";2.8;"high"
525;12.63;4.15;"ponds";6.0;"Yellow";"TRUE";16.7;"really low"
526;2.25;15.15;"lakes";7.1;"Reddish_Orange";"TRUE";11.0;"high"
527;13.56;12.66;"slowmovingwaters";8.0;"Calico";"TRUE";24.4;"intermediate"
528;17.06;11.97;"slowmovingwaters";6.6;"Black_and_Orange";"TRUE";11.8;"intermediate"
529;1.13;6.09;"rivers";7.5;"Orange";"FALSE";9.4;"low"
530;6.38;8.07;"slowmovingwaters";6.9;"Reddish_Orange";"FALSE";11.1;"low"
531;3.33;5.63;"slowmovingwaters";7.5;"Black_and_Orange";"TRUE";21.6;"low"
532;9.99;14.62;"rivers";7.2;"Orange";"TRUE";21.6;"intermediate"
533;7.01;8.26;"lakes";7.2;"Green_and_Chocolate";"FALSE";12.6;"low"
534;2.57;13.8;"idlewater";6.4;"Reddish_Orange";"FALSE";19.8;"intermediate"
535;10.54;16.01;"slowmovingwaters";7.5;"Orange";"TRUE";7.4;"high"
536;18.25;17.72;"idlewater";6.4;"White";"TRUE";4.9;"high"
537;7.74;9.08;"lakes";6.4;"Orange";"TRUE";24.6;"low"
538;13.87;3.39;"slowmovingwaters";6.1;"Green_and_Chocolate";"TRUE";21.9;"really low"
539;9.86;3.11;"idlewater";7.3;"White";"TRUE";18.9;"really low"
540;8.44;14.05;"lakes";6.7;"Calico";"TRUE";23.4;"intermediate"
541;19.66;2.77;"slowmovingwaters";6.2;"White";"TRUE";20.0;"really low"
542;16.86;9.54;"slowmovingwaters";6.3;"Red_and_Silver";"FALSE";1.6;"low"
543;7.92;8.73;"rivers";6.7;"White";"FALSE";8.4;"low"
544;15.31;11.57;"rivers";7.7;"Reddish_Orange";"TRUE";12.2;"intermediate"
545;9.2;10.12;"lakes";7.9;"Calico";"TRUE";14.7;"intermediate"
546;3.23;18.03;"ponds";7.6;"Black_and_Orange";"FALSE";15.5;"high"
547;11.96;12.07;"slowmovingwaters";6.3;"Red_and_Silver";"TRUE";24.5;"intermediate"
548;17.34;11.95;"slowmovingwaters";6.2;"Green_and_Chocolate";"TRUE";27.1;"intermediate"
549;1.19;16.49;"lakes";7.2;"Reddish_Orange";"TRUE";17.3;"high"
550;16.17;5.73;"lakes";7.2;"Reddish_Orange";"FALSE";19.4;"low"
551;2.04;18.25;"rivers";6.8;"Red_and_Silver";"TRUE";19.2;"high"
552;16.27;17.6;"ponds";7.5;"White";"FALSE";6.1;"high"
553;16.71;2.01;"ponds";7.8;"Red_and_White_Bi_Color";"FALSE";6.2;"really low"
554;6.49;13.68;"slowmovingwaters";6.1;"Red_and_White_Bi_Color";"TRUE";12.6;"intermediate"
555;19.04;18.35;"idlewater";7.5;"Red_and_Silver";"FALSE";11.5;"high"
556;8.8;2.08;"lakes";7.8;"Orange";"TRUE";17.4;"really low"
557;12.89;9.87;"slowmovingwaters";6.6;"Orange";"FALSE";11.2;"low"
558;3.42;13.2;"lakes";7.5;"Green_and_Chocolate";"TRUE";5.4;"intermediate"
559;12.9;9.28;"ponds";7.7;"Black_and_Orange";"FALSE";21.8;"low"
560;1.3;8.27;"lakes";7.3;"Black_and_Orange";"FALSE";27.9;"low"
561;10.35;16.25;"rivers";7.8;"Green_and_Chocolate";"FALSE";14.2;"high"
562;14.46;18.2;"ponds";6.3;"White";"TRUE";6.8;"high"
563;12.5;7.48;"ponds";8.0;"Orange";"TRUE";19.2;"low"
564;19.2;6.44;"lakes";7.9;"Reddish_Orange";"FALSE";4.8;"low"
565;4.95;11.79;"ponds";7.2;"Yellow";"TRUE";25.5;"intermediate"
566;9.63;4.73;"rivers";6.1;"Green_and_Chocolate";"FALSE";8.0;"really low"
567;19.04;13.86;"rivers";7.0;"Calico";"FALSE";20.3;"intermediate"
568;19.36;16.84;"rivers";7.2;"Calico";"FALSE";23.4;"high"
569;9.51;5.79;"ponds";6.1;"Black_and_Orange";"FALSE";9.2;"low"
570;14.36;12.81;"lakes";7.7;"Red_and_Silver";"FALSE";1.9;"intermediate"
571;2.77;6.24;"ponds";7.2;"Orange";"TRUE";9.4;"low"
572;1.51;11.04;"lakes";6.3;"Calico";"FALSE";18.7;"intermediate"
573;14.97;2.01;"slowmovingwaters";6.7;"White";"TRUE";21.8;"really low"
574;8.03;10.53;"rivers";7.5;"Green_and_Chocolate";"TRUE";19.6;"intermediate"
575;1.52;3.01;"idlewater";6.6;"Yellow";"TRUE";17.6;"really low"
576;19.73;11.53;"idlewater";7.4;"Green_and_Chocolate";"FALSE";23.9;"intermediate"
577;9.09;8.48;"slowmovingwaters";6.9;"Orange";"TRUE";2.1;"low"
578;6.28;2.71;"lakes";6.5;"Red_and_White_Bi_Color";"FALSE";11.9;"really low"
579;9.37;12.3;"rivers";6.9;"Green_and_Chocolate";"FALSE";23.8;"intermediate"
580;7.74;12.17;"idlewater";6.4;"Black_and_Orange";"TRUE";9.3;"intermediate"
581;3.42;3.73;"ponds";6.3;"Red_and_Silver";"FALSE";9.6;"really low"
582;14.53;17.51;"rivers";7.6;"Red_and_Silver";"TRUE";19.9;"high"
583;13.6;2.65;"ponds";7.8;"Yellow";"TRUE";16.8;"really low"
584;2.09;3.55;"ponds";6.9;"Yellow";"FALSE";15.6;"really low"
585;13.28;13.85;"lakes";7.6;"Calico";"TRUE";2.8;"intermediate"
586;7.32;9.1;"slowmovingwaters";6.8;"Yellow";"TRUE";17.5;"low"
587;3.52;15.78;"idlewater";6.3;"White";"TRUE";17.4;"high"
588;14.31;17.52;"slowmovingwaters";7.6;"White";"FALSE";13.9;"high"
589;8.68;17.16;"lakes";6.6;"Red_and_Silver";"FALSE";26.0;"high"
590;1.6;13.95;"idlewater";7.3;"Calico";"TRUE";10.9;"intermediate"
591;10.35;5.16;"slowmovingwaters";6.9;"Red_and_White_Bi_Color";"FALSE";2.2;"low"
592;19.53;5.68;"rivers";8.0;"Yellow";"FALSE";19.1;"low"
593;17.3;11.92;"rivers";6.4;"Yellow";"FALSE";24.5;"intermediate"
594;12.17;9.88;"idlewater";6.3;"Yellow";"FALSE";14.6;"low"
595;9.5;6.22;"rivers";6.7;"Red_and_White_Bi_Color";"FALSE";5.9;"low"
596;5.09;18.44;"rivers";7.0;"Green_and_Chocolate";"TRUE";12.0;"high"
597;14.65;14.1;"lakes";7.0;"Green_and_Chocolate";"TRUE";21.0;"intermediate"
598;14.58;8.24;"lakes";7.4;"Reddish_Orange";"FALSE";11.5;"low"
599;13.36;13.44;"ponds";6.4;"Yellow";"FALSE";13.4;"intermediate"
600;9.18;17.87;"slowmovingwaters";7.9;"White";"FALSE";7.9;"high"
601;16.55;3.22;"lakes";6.7;"Orange";"FALSE";22.7;"really low"
602;4.43;14.97;"ponds";6.6;"Reddish_Orange";"FALSE";2.6;"intermediate"
603;11.28;16.0;"lakes";7.0;"Reddish_Orange";"FALSE";19.9;"high"
604;7.86;13.06;"lakes";7.2;"Red_and_Silver";"TRUE";12.7;"intermediate"
605;15.86;16.41;"lakes";7.0;"Black_and_Orange";"TRUE";9.8;"high"
606;6.92;8.2;"slowmovingwaters";6.8;"Reddish_Orange";"FALSE";9.9;"low"
607;17.4;14.22;"ponds";7.9;"Red_and_Silver";"FALSE";25.6;"intermediate"
608;11.5;7.09;"lakes";6.1;"White";"TRUE";2.9;"low"
609;13.5;4.79;"idlewater";7.8;"Orange";"TRUE";14.7;"really low"
610;2.46;18.8;"slowmovingwaters";7.4;"Red_and_White_Bi_Color";"FALSE";7.6;"high"
611;10.52;9.23;"lakes";6.3;"Green_and_Chocolate";"FALSE";12.4;"low"
612;4.2;17.86;"lakes";6.2;"Black_and_Orange";"TRUE";14.3;"high"
613;13.64;10.92;"idlewater";7.5;"White";"TRUE";9.6;"intermediate"
614;13.44;2.22;"slowmovingwaters";7.8;"Red_and_Silver";"FALSE";11.1;"really low"
615;7.33;12.75;"lakes";7.7;"Yellow";"FALSE";27.4;"intermediate"
616;17.11;8.17;"rivers";6.3;"White";"FALSE";11.5;"low"
617;19.1;15.85;"rivers";6.3;"Yellow";"FALSE";23.3;"high"
618;6.52;13.48;"ponds";6.3;"Red_and_Silver";"TRUE";16.5;"intermediate"
619;12.71;7.68;"rivers";7.5;"Yellow";"FALSE";17.8;"low"
620;18.88;8.42;"ponds";7.2;"Yellow";"FALSE";23.9;"low"
621;2.21;11.07;"lakes";7.1;"Green_and_Chocolate";"TRUE";5.7;"intermediate"
622;9.8;6.74;"ponds";7.1;"Red_and_White_Bi_Color";"TRUE";15.2;"low"
623;8.49;14.22;"rivers";7.8;"Yellow";"FALSE";9.0;"intermediate"
624;14.64;17.96;"idlewater";6.2;"Calico";"TRUE";11.5;"high"
625;9.63;14.21;"lakes";7.8;"Calico";"TRUE";11.9;"intermediate"
626;14.54;3.95;"ponds";6.8;"Yellow";"FALSE";11.9;"really low"
627;1.17;17.4;"lakes";7.6;"Black_and_Orange";"TRUE";10.0;"high"
628;6.75;16.69;"ponds";6.6;"Green_and_Chocolate";"FALSE";12.1;"high"
629;17.06;15.82;"ponds";6.3;"Green_and_Chocolate";"TRUE";2.8;"high"
630;1.65;10.8;"lakes";6.8;"Green_and_Chocolate";"FALSE";14.4;"intermediate"
631;17.93;12.16;"rivers";7.6;"Reddish_Orange";"TRUE";10.7;"intermediate"
632;15.14;5.91;"rivers";6.5;"Black_and_Orange";"FALSE";8.3;"low"
633;18.13;10.12;"rivers";6.1;"Black_and_Orange";"FALSE";11.8;"intermediate"
634;7.07;3.53;"ponds";7.9;"Red_and_Silver";"TRUE";11.1;"really low"
635;5.49;3.35;"ponds";6.9;"Black_and_Orange";"TRUE";2.5;"really low"
636;16.39;10.0;"idlewater";7.2;"Calico";"FALSE";5.8;"intermediate"
637;9.52;14.34;"idlewater";6.2;"Black_and_Orange";"FALSE";2.2;"intermediate"
638;3.27;5.66;"slowmovingwaters";7.0;"Green_and_Chocolate";"TRUE";8.3;"low"
